,Kingdom,Phylum,Class,Order,Family,Genus
00039e04b58fd861debcb14611e52c20,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Finegoldia
00195f90d03149aeccf0c05c70018cdf,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,unc_Lactobacillaceae
0029f17dbe9d0a343c7d6e7847dc916c,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
002eb40a0949b503945148ec875c4f56,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
004928c1c8e88f85bb25bac0c26338b4,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas
004bb126e19c99700f9c0122dbb19bc8,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,und_Lachnospiraceae
008dfe5d2bcf1148a1759e7ecf0c9b9f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
0094c3291f301c82d4b017e9520ebc13,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas
009ae4599ec8e980b6a3ba0f29e60560,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
009d718c9fcfea0a4be19b55f0bb783f,Bacteria,Firmicutes,Clostridia,Clostridiales,unc_Clostridiales,unc_Clostridiales
009d7abc538905a83bdfafa9a900657a,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Alishewanella
009f411855fdbde7da339f974d6d556a,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unc_Ruminococcaceae
00aa89e50e996ce70c27b1e634be4856,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
00b1e9b95cf28c88df6191392a60cc55,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor
00b20730ea9a3ff8c3c271f73ca8d16c,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
00bdd61ee78985591a4de1d57f24591c,Bacteria,Bacteroidetes,Flavobacteriia,unc_Flavobacteriia,unc_Flavobacteriia,unc_Flavobacteriia
00dc882669f5f80100fe79af0124cd69,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
00faa53517a3d523977f77171ba2135f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,und_Ruminococcaceae
0105124b4b2e219f8bd9190b0ec6cf63,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella
011ab79f87f864c1d5956d9ddc8119ee,Bacteria,Firmicutes,Bacilli,unc_Bacilli,unc_Bacilli,unc_Bacilli
01268b2df360aaef05025b3f2f83619a,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum
0128352ac3c8f8d4304c956b22da0a54,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,unc_Lactobacillaceae
0131f87e0dd38329605d3d5c66065a78,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum
0137cc439ea2658040e7fd4b18b08b24,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unc_Erysipelotrichaceae
